Date,Time,BID_PRICE,ASK_PRICE,LTQ,OpenInterest
2025-10-31,09:15:00.000,861.1,862.25,1400.0,62003200.0
2025-10-31,09:15:01.000,861.85,862.9,15400.0,62003200.0
2025-10-31,09:15:02.000,861.85,862.9,15400.0,62003200.0
2025-10-31,09:15:03.000,862.3,863.9,23100.0,62003200.0
2025-10-31,09:15:04.000,863.0,864.2,23100.0,62003200.0
2025-10-31,09:15:05.000,863.0,864.2,23100.0,62003200.0
2025-10-31,09:15:06.000,864.2,865.2,32900.0,62003200.0
2025-10-31,09:15:07.000,864.2,864.75,32900.0,62003200.0
2025-10-31,09:15:08.000,864.3,864.75,32900.0,62003200.0
2025-10-31,09:15:09.000,864.45,865.2,33600.0,62003200.0
2025-10-31,09:15:10.000,864.55,865.25,33600.0,62003200.0
2025-10-31,09:15:11.000,864.4,864.95,33600.0,62003200.0
2025-10-31,09:15:12.000,863.65,864.35,37800.0,62003200.0
2025-10-31,09:15:13.000,863.6,864.35,37800.0,62003200.0
2025-10-31,09:15:14.000,863.2,864.2,39200.0,62003200.0
2025-10-31,09:15:15.000,862.35,863.2,47600.0,62003200.0
2025-10-31,09:15:16.000,862.15,863.0,49700.0,62003200.0
2025-10-31,09:15:17.000,862.2,862.85,49700.0,62003200.0
2025-10-31,09:15:18.000,862.2,862.85,49700.0,62003200.0
2025-10-31,09:15:19.000,862.2,862.65,49700.0,62003200.0
2025-10-31,09:15:20.000,862.1,862.55,50400.0,62003200.0
2025-10-31,09:15:21.000,862.05,862.3,50400.0,62003200.0
2025-10-31,09:15:22.000,862.05,862.3,50400.0,62003200.0
2025-10-31,09:15:23.000,862.05,862.55,51100.0,62003200.0
2025-10-31,09:15:24.000,862.1,862.6,51100.0,62003200.0
2025-10-31,09:15:25.000,862.05,862.6,52500.0,62003200.0
2025-10-31,09:15:26.000,862.05,862.65,52500.0,62003200.0
2025-10-31,09:15:27.000,862.0,862.45,54600.0,62003200.0
2025-10-31,09:15:28.000,862.0,862.5,54600.0,62003200.0
2025-10-31,09:15:29.000,862.05,862.6,54600.0,62003200.0
2025-10-31,09:15:30.000,862.1,862.6,55300.0,62003200.0
2025-10-31,09:15:31.000,862.1,862.65,55300.0,62003200.0
2025-10-31,09:15:32.000,862.1,862.5,55300.0,62003200.0
2025-10-31,09:15:33.000,862.1,862.8,60200.0,62003200.0
2025-10-31,09:15:34.000,862.1,862.65,60200.0,62003200.0
2025-10-31,09:15:35.000,862.1,862.65,60200.0,62003200.0
2025-10-31,09:15:36.000,862.1,862.65,60900.0,62003200.0
2025-10-31,09:15:37.000,862.2,862.8,61600.0,62017200.0
2025-10-31,09:15:38.000,862.25,863.05,62300.0,62017200.0
2025-10-31,09:15:39.000,862.25,862.95,62300.0,62017200.0
2025-10-31,09:15:40.000,862.7,863.25,62300.0,62017200.0
2025-10-31,09:15:41.000,862.65,863.15,62300.0,62017200.0
2025-10-31,09:15:42.000,862.65,863.15,62300.0,62017200.0
2025-10-31,09:15:43.000,862.65,863.15,62300.0,62017200.0
2025-10-31,09:15:44.000,862.65,863.05,62300.0,62017200.0
2025-10-31,09:15:45.000,862.65,863.05,62300.0,62017200.0
2025-10-31,09:15:46.000,862.3,863.05,63000.0,62017200.0
2025-10-31,09:15:47.000,862.8,863.15,63000.0,62017200.0
2025-10-31,09:15:48.000,862.8,863.3,63000.0,62017200.0
2025-10-31,09:15:49.000,862.8,863.3,63000.0,62017200.0
2025-10-31,09:15:50.000,862.8,863.3,63000.0,62017200.0
2025-10-31,09:15:51.000,862.8,863.4,63000.0,62017200.0
2025-10-31,09:15:52.000,862.8,863.35,63000.0,62017200.0
2025-10-31,09:15:53.000,862.8,863.35,63000.0,62017200.0
2025-10-31,09:15:54.000,862.2,862.9,65100.0,62017200.0
2025-10-31,09:15:55.000,862.25,863.05,65100.0,62017200.0
2025-10-31,09:15:56.000,862.3,863.05,65100.0,62017200.0
2025-10-31,09:15:57.000,862.3,863.05,65100.0,62017200.0
2025-10-31,09:15:58.000,862.3,862.95,65100.0,62017200.0
2025-10-31,09:15:59.000,862.25,862.85,65100.0,62017200.0
2025-10-31,09:16:00.000,862.25,862.9,65100.0,62017200.0
2025-10-31,09:16:01.000,862.25,862.85,65100.0,62017200.0
2025-10-31,09:16:02.000,862.1,862.75,65100.0,62017200.0
2025-10-31,09:16:03.000,862.1,862.75,67900.0,62017200.0
2025-10-31,09:16:04.000,862.3,862.75,68600.0,62017200.0
2025-10-31,09:16:05.000,862.3,862.75,68600.0,62017200.0
2025-10-31,09:16:06.000,862.55,863.0,72800.0,62017200.0
2025-10-31,09:16:07.000,862.45,863.0,72800.0,62017200.0
2025-10-31,09:16:08.000,862.45,863.0,72800.0,62017200.0
2025-10-31,09:16:09.000,862.3,862.95,72800.0,62017200.0
2025-10-31,09:16:10.000,862.5,862.9,72800.0,62017200.0
2025-10-31,09:16:11.000,862.5,862.9,72800.0,62017200.0
2025-10-31,09:16:12.000,862.55,863.0,73500.0,62017200.0
2025-10-31,09:16:13.000,862.5,862.95,73500.0,62017200.0
2025-10-31,09:16:14.000,862.1,862.55,75600.0,62017200.0
2025-10-31,09:16:15.000,862.1,862.55,76300.0,62017200.0
2025-10-31,09:16:16.000,862.1,862.55,76300.0,62017200.0
2025-10-31,09:16:17.000,862.1,862.55,76300.0,62017200.0
